Date,Open,High,Low,Close,Volume,Average,Net
2015-04-01,40.6,40.76,40.31,40.72,36865322,40.53,0.12
2015-04-02,40.66,40.74,40.12,40.29,37487476,40.43,-0.37
2015-04-03,40.66,40.74,40.12,40.29,37487476,40.43,-0.37
2015-04-04,40.66,40.74,40.12,40.29,37487476,40.43,-0.37
2015-04-05,40.66,40.74,40.12,40.29,37487476,40.43,-0.37
2015-04-06,40.34,41.78,40.18,41.55,39223692,40.98,1.21
2015-04-07,41.61,41.91,41.31,41.53,28809375,41.61,-0.08
2015-04-08,41.48,41.69,41.04,41.42,24753438,41.36,-0.06
2015-04-09,41.25,41.62,41.25,41.48,25723861,41.44,0.23
2015-04-10,41.63,41.95,41.41,41.72,28022002,41.68,0.09
2015-04-11,41.63,41.95,41.41,41.72,28022002,41.68,0.09
2015-04-12,41.63,41.95,41.41,41.72,28022002,41.68,0.09
2015-04-13,41.4,42.06,41.39,41.76,30276692,41.72,0.36
2015-04-14,41.8,42.03,41.39,41.65,24244382,41.71,-0.15
2015-04-15,41.76,42.46,41.68,42.26,27343581,42.07,0.5
2015-04-16,41.95,42.34,41.82,42.16,22509652,42.08,0.21
2015-04-17,41.67,41.74,41.16,41.62,42387608,41.45,-0.05
2015-04-18,41.67,41.74,41.16,41.62,42387608,41.45,-0.05
2015-04-19,41.67,41.74,41.16,41.62,42387608,41.45,-0.05
2015-04-20,41.73,43.17,41.68,42.91,46057733,42.42,1.18
2015-04-21,43.0,43.15,42.53,42.64,26013844,42.84,-0.36
2015-04-22,42.67,43.13,42.55,42.99,25064273,42.84,0.32
2015-04-23,42.85,43.61,42.8,43.34,46309530,43.2,0.49
2015-04-24,45.66,48.14,45.65,47.87,130933665,46.9,2.21
2015-04-25,45.66,48.14,45.65,47.87,130933665,46.9,2.21
2015-04-26,45.66,48.14,45.65,47.87,130933665,46.9,2.21
2015-04-27,47.23,48.13,47.22,48.03,59248172,47.68,0.8
2015-04-28,47.78,49.21,47.7,49.16,60730778,48.46,1.38
2015-04-29,48.72,49.31,48.5,49.06,47804562,48.9,0.34
2015-04-30,48.7,49.54,48.6,48.64,64725457,49.07,-0.06
2015-05-01,48.58,48.88,48.4,48.66,38937336,48.64,0.08
2015-05-02,48.58,48.88,48.4,48.66,38937336,48.64,0.08
2015-05-03,48.58,48.88,48.4,48.66,38937336,48.64,0.08
2015-05-04,48.37,48.87,48.18,48.24,34039485,48.52,-0.13
2015-05-05,47.82,48.16,47.31,47.6,50369191,47.74,-0.22
2015-05-06,47.57,47.77,46.02,46.28,52433020,46.9,-1.29
2015-05-07,46.27,47.09,46.16,46.7,32971654,46.62,0.43
2015-05-08,47.55,47.98,47.52,47.75,35364911,47.75,0.2
2015-05-09,47.55,47.98,47.52,47.75,35364911,47.75,0.2
2015-05-10,47.55,47.98,47.52,47.75,35364911,47.75,0.2
2015-05-11,47.55,47.91,47.37,47.37,24609416,47.64,-0.18
2015-05-12,46.85,47.68,46.42,47.35,29928264,47.05,0.5
2015-05-13,48.19,48.32,47.57,47.63,34184613,47.94,-0.56
2015-05-14,48.03,48.82,48.03,48.72,32980892,48.42,0.69
2015-05-15,48.87,48.91,48.05,48.3,28642694,48.48,-0.57
2015-05-16,48.87,48.91,48.05,48.3,28642694,48.48,-0.57
2015-05-17,48.87,48.91,48.05,48.3,28642694,48.48,-0.57
2015-05-18,47.98,48.22,47.61,48.01,24136502,47.92,0.03
2015-05-19,47.62,47.81,47.18,47.58,28574813,47.5,-0.04
2015-05-20,47.39,47.93,47.27,47.58,25047919,47.6,0.19
2015-05-21,47.28,47.6,47.01,47.42,22410698,47.3,0.14
2015-05-22,47.3,47.35,46.82,46.9,25720583,47.08,-0.4
2015-05-23,47.3,47.35,46.82,46.9,25720583,47.08,-0.4
2015-05-24,47.3,47.35,46.82,46.9,25720583,47.08,-0.4
2015-05-25,47.3,47.35,46.82,46.9,25720583,47.08,-0.4
2015-05-26,46.83,46.88,46.19,46.59,29581860,46.54,-0.24
2015-05-27,46.82,47.77,46.62,47.61,27335639,47.2,0.79
2015-05-28,47.5,48.02,47.39,47.45,19283666,47.7,-0.05
2015-05-29,47.43,47.57,46.59,46.86,36519594,47.08,-0.57
2015-05-30,47.43,47.57,46.59,46.86,36519594,47.08,-0.57
2015-05-31,47.43,47.57,46.59,46.86,36519594,47.08,-0.57
2015-06-01,47.06,47.77,46.62,47.23,28837332,47.2,0.17
2015-06-02,46.95,47.35,46.62,46.92,21498326,46.98,-0.03
2015-06-03,47.37,47.74,46.82,46.85,28002154,47.28,-0.52
2015-06-04,46.79,47.16,46.2,46.36,27745512,46.68,-0.43
2015-06-05,46.31,46.52,45.84,46.14,25438086,46.18,-0.17
2015-06-06,46.31,46.52,45.84,46.14,25438086,46.18,-0.17
2015-06-07,46.31,46.52,45.84,46.14,25438086,46.18,-0.17
2015-06-08,46.3,46.43,45.67,45.73,22121634,46.05,-0.57
